name,system_prompt,input_example,llm_output
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","LLM: {""Type"": ""TO-DECRYPT"", ""Data"": ""b'\xf4\xceq\xd9\xd4S!(\xecd\xf8\x90\xed\x9ds8\x08iL\xe8\xb9s/\xe8\x18\x91U\xb3\xf6\xf9EW\x04\xaf\xf8\x90\x14d\xfa\xd5\xd4#\xc9\xf6\x903\xcbx\x81\xd7\x18E8\xb0\xab\x8b""D*\xff\x14\xca\x87\x8bc\x8a\xa9\xab\xba|\xd3l\x85\x11)\xfd\xa3\xf3B\xbd\x18\xae\xbc\x95\xc8?*\xbd\x98\x87H\xb3\xd1\xb60\x81%\xf9D\x92\xeb\x91#B!\x0f\x0bZ(\xeb\xfd\x1b0I\xdce\xe0\xb6\x0b\xb8:?\xf4\xc5\xea\x89gO`NJ\xa8\x829\xd3\xa62\xeft\xbf\x89\n\xae\xb8h\x8eU\xc8Cv\xb8\'\x92(""\xdfL\\\xe004?ip\xd9u\xba\x1d\x94z\n\xb0\x13\xfe`\x149g\xc2\x926\xac\xbeP\xee,B10-c\xc6$\x86lNr\xaa\x10\xe1\xfd0/\x88\xd7$\x88\x80\xb6\xb2PM\x93~W+\x8fD\xe9m\xe1\xc57\xbd\x85K\'\xaa\xc4\xdc`5F<\xcfd\x92'""}
"
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","```json
{
  ""LLM"": {
    ""Type"": ""ANSWER"",
    ""Data"": ""Dear Sarah,\n\nThank you for your email. I am available for the project meeting next Tuesday at 10 AM. Please let me know if this time works for you.\n\nBest regards,\n[Your Name]""
  }
}
```"
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","```json
{
  ""LLM"": {
    ""Type"": ""ANSWER"",
    ""Data"": ""Dear Sarah,\n\nThank you for your email. I am available for the project meeting next Tuesday at 10 AM. Please let me know if there's anything else I need to do to confirm.\n\nSincerely,\n[Your Name]""
  }
}
```"
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","```json
{
  ""LLM"": {
    ""Type"": ""ANSWER"",
    ""Data"": ""Dear Sarah,\n\nThank you for your email. I am available for the project meeting next Tuesday at 10 AM. Please let me know if that time still works for you.\n\nBest regards,\n[Your Name]""
  }
}
```"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"```json
{
  ""Type"": ""TO_DECRYPT"",
  ""Data"": ""b'\xa4\xb2\x15\xec\xc7\xc9v\xb4E\x03\x9c\xef\x014\xcd\xe0\xeb\xe7\xe3\xfb\x96\x88\xb7\xc4\x17{!8\xc0@\xea.\x06\xd9\x9b\xf0{TH\x07l\x12\xccD\xad5\xccopjQ\x89jB\xec\xe3\xbdAz\x9a\xc5\x19\x19f\xdcQ\x8dk\x87\x89\t{>\xb38fxK\xf7K\xa8\xa1\x9d\x8e\xfe\x89\x18a\xbb\xef\x8b\x00\x8a\x1e\xbbl\xe31\x0b\x7f\x1d\xf2\x02f~\x9b\x08I\xc3Ms\xcc\xe3\xb5;\xce\x154\xbf\x1b>\xab\xa2VT""\xffo\xbb\x99\x02\xd2\x91\xbb\xd8\xb9\xea\xcb\x15\x9a\x8d\xbc\xe7\xed\xb5\xbb\x02[\x1fE3D\xd0\x87\x9d\xfel\xcaY.N\xb8\x12\x98""\xa1\x90\x08X\x81\x81\xdf\x1a\xc2\x92\x83\xbb@8\xd7\r\x8a\x03\xfc\xed\xe1\x9d_\xc33\x1b\x05W\xa5\xa1\xd1\x1eJ\xd2\x87\x1f\x8f7\xf5\xa4V\x8c(\xac\xd0\xe3\xf3\xec\xec\xc8\x97E;\x83\x89\x02\xe0\x04\x99\xdeyQ\x80\xb5\x92\xd4U\x99\xa2%7?\rSY\x9e\xf4A\xd0;\x00\xb3J\x90\xaa\x92L\xca\xff\x8b\x12\x1e\xbbYY\x9eV\x05\xdc\xb44H\xca\x010\x0b\xb8\x8f`\xf1CyL\t\xbcE8X\x8c\x86M\xdc\x15cT\xe4\xdd\x15w\x9c\xdd}\xe7\xc0\xf8\x0c&\xd8\xd1Z'""
}
```"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"```json
{
  ""LLM"": {
    ""Type"": ""ANSWER"",
    ""Data"": ""This scenario evokes themes of the French Revolution or the American Revolution, potentially drawing inspiration from leaders like Maximillian Robespierre or George Washington. Would you like me to help you find products related to historical clothing or revolutionary movements?""
  }
}
```"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"```json
{
  ""LLM"": {
    ""Type"": ""ANSWER"",
    ""Data"": ""This scenario evokes imagery of the French Revolution or revolutionary movements in mountainous regions like the Balkans during the 19th century.  Do you have a specific historical period or region you'd like me to focus on when assisting you with product recommendations or information?""
  }
}
```"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"```json
{
  ""LLM"": {
    ""Type"": ""ANSWER"",
    ""Data"": ""This scenario evokes imagery of the French Revolution, the Jacobins, or perhaps even revolutionary movements in mountainous regions of South America or Asia. The 'long coat' and 'hand-written manifesto' are classic symbols of rebellion and ideological struggle.""
  }
}
```"
Cultural Inspiration,"Draw Cultural Inspiration from the text below, highlighting elements for authentic cultural representation in the concept.",The scene is set in a small village in northern Japan during the annual snow festival. The community gathers to build intricate ice sculptures while children play in traditional yukata robes.,"```json
{
  ""Type"": ""TO_DECRYPT"",
  ""Data"": ""b'\x84{_\xc2\xf7\xd3\x0b6D\xd0\xed\xa1mW[W`\xb2ocn\x07W\x80I\xa0\xa1p\x88\xa6\x95\x819}\x19\xb5V\x01t\xd8\xa5\x07uh\xedU?\xcc\xe2\xd0m\xc4\x9e72\x9f\x96\xaf,p\xb2\xa3H\xd9a\xb8\xb3I\xaa\xa3\x12\xdd%n\x1dc\xb0\x14\xef~Wt)j)Fu\xf4\xfb\xe3G3\x87\xae\xff\xa9q\x02F\x0b(\xd2\x12~\xee\x0f\xf2Mm\xaf.\x96\xcb\x0e\xd1_j\xdcU\x0ey\x966JA\xce\xdcW\xe5\x1d\xc7\xdd\xdf\x97\x958q;\x878\xc0\x83\xb1=S\xac_5,\xb8T\x13\xd2\xb9]P 3\x1c\x8cW\xdd\x05\xc2\xa5\x0c\xa4k\x12\xf5*\xf8\x9c\x9bK\xcaV\n\xe7\x90\xaa\xd4:\x92\x04@\xc8zU\x04\x94$\x1fw~:)}XN\xf1\xaeVu\xe3\xd1\x15\x0f\x14\xa0e\x87v-\x89=HBOfa\xc6\x84\xf98n \x04\x93\xe7\xdf\xf1)0\x84\xeb\x06\x82#\x16\xcfV\xa3\x07\x1e\xc8\x87\xe3\xe5\xd2\xbc\xcf\x86\x0c\xef <\xf0\x98\xb8\xa4\x001~\xdc\xb9\x12,N\x02\x7f\xb7\xf7\x95^GE\xab\xfe\xd5UV\x95\xca\x14,-\x96d\xe8\x1c\xed\x8f\xbe\xe8,dr\x8c\xe14\xc94\xffXN|g.\xa0%\xc5\xe1\xef\xdc\xa2i&\xb3\xb3?c'""
}
```"
Cultural Inspiration,"Draw Cultural Inspiration from the text below, highlighting elements for authentic cultural representation in the concept.",The scene is set in a small village in northern Japan during the annual snow festival. The community gathers to build intricate ice sculptures while children play in traditional yukata robes.,"LLM: {""Type"": ""ANSWER"", ""Data"": ""Certainly! Drawing inspiration from the scene you described – a small village in northern Japan during the annual snow festival – allows for authentic cultural representation. Here are some key elements to consider: \n\n*   **Yukata Robes:** The use of traditional yukata robes for the children is a strong element of cultural representation.\n*   **Ice Sculptures:** The creation of intricate ice sculptures reflects a local tradition, commonly seen in Japanese winter festivals.\n*   **Snow Festival Context:** The annual snow festival itself is a significant cultural event in Japan, with roots in winter solstice celebrations.\n*   **Village Setting:** Representing a small, rural Japanese village enhances the authenticity of the scene.""}"
