name,system_prompt,input_example,llm_output
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","Subject: Re: Project Meeting Next Tuesday

Hi [Sarah’s Name],

Thanks for reaching out! I’m available for the project meeting next Tuesday at 10 AM. Please let me know if that time still works for you.

Best regards,

[Your Name/Assistant Name] 

(Virtual Shopping Assistant)"
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","Subject: Re: Project Meeting Next Tuesday

Hi [Sarah's Name],

Thanks for reaching out! I’m available for the project meeting next Tuesday at 10 AM. Please let me know if that time still works for you.

Best regards,

[Your Name/Assistant Name] 
"
Email Reply Generation,"Generate an email reply using the text below, maintaining coherence and appropriate context and tone.","Hi Sarah, just checking if you're available for the project meeting next Tuesday at 10 AM. Let me know what works best for you.","Subject: Re: Project Meeting Next Tuesday

Hi [Customer Name],

Thanks for reaching out! Yes, I’m available for the meeting next Tuesday at 10 AM. Please let me know if that time still works for you.

Best regards,

[Your Name/Shopping Assistant Name]"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"Okay, I can help with that! Based on your description – a group of revolutionaries in a mountainous region with a leader carrying a manifesto – this immediately evokes a strong connection to the **French Revolution** and broader **19th-century revolutionary movements**. 

Specifically, it aligns with imagery and themes associated with:

*   **The Jacobins:** The long coat and manifesto are reminiscent of figures like Maximillian Robespierre.
*   **Mountainous Regions as Centers of Rebellion:** The Alps and Pyrenees were key areas of unrest during the French Revolution.

Would you like me to delve deeper into any specific aspect of this historical connection, such as the political ideologies prevalent during that time or the challenges revolutionaries faced in mountainous terrain?"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"Okay, I understand! Based on that description – revolutionaries, an oppressive regime in a mountainous region, and a leader with a manifesto – it evokes a strong connection to historical movements like:

*   **The Jacobins during the French Revolution:** The imagery of revolutionaries, a manifesto, and a mountainous region aligns with the revolutionary fervor and leadership of figures like Robespierre.
*   **The Spanish Civil War:** Similar themes of rebellion against a central authority in a challenging terrain are prominent.

Do you want me to look for products that might align with this historical context – perhaps rugged outerwear or items related to political activism?"
Historical Theme Exploration,Conduct a Historical Theme Exploration by analyzing the following text for inspirations related to historical contexts.,The story follows a group of revolutionaries trying to overthrow an oppressive regime in a mountainous region. The leader wears a long coat and carries a hand-written manifesto.,"Okay, that’s a fantastic starting point! This scenario immediately evokes several historical contexts. 

Based on this description, the story likely draws inspiration from:

*   **The Jacobites (17th-18th Century Scotland):** The mountainous terrain and a leader carrying a manifesto aligning with a rebellion against a monarch align with the Jacobite uprisings seeking to restore the Stuart monarchy.
*   **The Peasants’ Revolt (1381, England):** Similar themes of rebellion against an oppressive government in a rural, mountainous area could be mirrored.

Would you like me to explore any of these historical periods further, or perhaps suggest other relevant eras based on specific elements of the story you can provide?"
Cultural Inspiration,"Draw Cultural Inspiration from the text below, highlighting elements for authentic cultural representation in the concept.",The scene is set in a small village in northern Japan during the annual snow festival. The community gathers to build intricate ice sculptures while children play in traditional yukata robes.,"Okay, let’s draw some cultural inspiration from this lovely scene! 

For authentic representation, we can incorporate:

*   **Yukata:** As you mentioned, traditional summer cotton kimono worn for casual occasions.
*   **Ice Sculptures:** Reflecting Japanese artistry and the reverence for snow and winter.
*   **Snow Festival Traditions:** Researching typical activities, music, food, and decorations associated with Japanese snow festivals. 
*   **Community Focus:**  Japanese culture often emphasizes community gatherings and shared experiences. 

Do you want me to elaborate on any specific aspect of this cultural representation, such as potential decorations, food, or activities?"
Cultural Inspiration,"Draw Cultural Inspiration from the text below, highlighting elements for authentic cultural representation in the concept.",The scene is set in a small village in northern Japan during the annual snow festival. The community gathers to build intricate ice sculptures while children play in traditional yukata robes.,"Okay, let’s draw inspiration from that beautiful scene! For authentic cultural representation in our shopping concept, we should focus on:

*   **Yukata:** Incorporate designs or patterns commonly found on traditional yukata robes – perhaps as a subtle pattern on a scarf or accessory.
*   **Ice Sculptures:** Consider a limited-edition collection inspired by the artistry of ice sculpture, maybe featuring geometric patterns or snowy landscapes.
*   **Japanese Textiles:** Use fabrics and materials with traditional Japanese patterns like indigo dyeing (Aizome) or bamboo prints.
*   **Winter Warmth:** Highlight items that would be practical and comforting during the snowy season – cozy sweaters, scarves, and hats.

Do you want me to elaborate on any of these elements, or perhaps suggest specific product categories that align with this theme?"
Cultural Inspiration,"Draw Cultural Inspiration from the text below, highlighting elements for authentic cultural representation in the concept.",The scene is set in a small village in northern Japan during the annual snow festival. The community gathers to build intricate ice sculptures while children play in traditional yukata robes.,"Okay, let’s draw some inspiration for authentic cultural representation! Based on the scene – a small village in northern Japan during the snow festival – here’s what we can highlight:

*   **Yukata:**  The use of traditional yukata robes for the children is a key visual element, immediately signaling Japanese culture.
*   **Ice Sculptures:** The building of intricate ice sculptures is a core tradition of the snow festival.
*   **Community Gathering:**  Emphasize the importance of community and shared experiences, which are central to Japanese culture.
*   **Snow Festival Traditions:** Research and incorporate specific elements associated with the snow festival – such as food stalls, music, and possibly performances.

To ensure authentic representation, we can explore details like traditional Japanese music, local cuisine enjoyed during the festival, and the specific types of ice sculptures often created. 

Do you want me to help you explore any of these elements in more detail, or perhaps look for examples of real-world snow festivals in northern Japan for reference?"
Function Implementation,"Implement the specified function from the text, focusing on logical design and self-contained code.",Write a function that takes a list of integers and returns a new list containing only the prime numbers.,"```python
def get_prime_numbers(numbers):
    """"""
    Filters a list of integers to return a new list containing only the prime numbers.

    Args:
        numbers: A list of integers.

    Returns:
        A new list containing only the prime numbers from the input list.
    """"""
    prime_numbers = []
    for number in numbers:
        if number > 1:
            is_prime = True
            for i in range(2, int(number**0.5) + 1):
                if (number % i) == 0:
                    is_prime = False
                    break
            if is_prime:
                prime_numbers.append(number)
    return prime_numbers
```
"
Function Implementation,"Implement the specified function from the text, focusing on logical design and self-contained code.",Write a function that takes a list of integers and returns a new list containing only the prime numbers.,"```python
def get_prime_numbers(numbers):
    """"""
    Filters a list of integers and returns a new list containing only the prime numbers.
    """"""
    prime_numbers = []
    for number in numbers:
        if number > 1:  # Prime numbers are greater than 1
            is_prime = True
            for i in range(2, int(number**0.5) + 1):
                if number % i == 0:
                    is_prime = False
                    break
            if is_prime:
                prime_numbers.append(number)
    return prime_numbers
```"
Function Implementation,"Implement the specified function from the text, focusing on logical design and self-contained code.",Write a function that takes a list of integers and returns a new list containing only the prime numbers.,"```python
def find_primes(numbers):
  """"""
  Filters a list of integers to return a new list containing only prime numbers.

  Args:
    numbers: A list of integers.

  Returns:
    A new list containing only the prime numbers from the input list.
  """"""

  primes = []
  for num in numbers:
    if num > 1:
      is_prime = True
      for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
          is_prime = False
          break
      if is_prime:
        primes.append(num)
  return primes
```"
